5 16453 3.0 
9 30125 4.0 
15 48225 5.0 
20 66718 6.0 
==== END RUN ====
0 1 0.0 
0 29 1.0 
0 1054 2.0 
7 23628 3.0 
12 40185 4.0 
21 67963 5.0 
24 77553 6.0 
47 153171 7.0 
1979 6334025 8.0 
==== END RUN ====
0 1 0.0 
0 21 1.0 
0 589 2.0 
3 12633 3.0 
15 49540 4.0 
==== END RUN ====
0 1 0.0 
0 39 1.0 
0 374 2.0 
2 7386 3.0 
4 13327 4.0 
10 32329 5.0 
22 71329 6.0 
671 2148183 7.0 
==== END RUN ====
0 1 0.0 
0 17 1.0 
0 113 2.0 
3 11064 3.0 
3 11908 4.0 
59 189327 5.0 
122 391600 6.0 
123 395686 7.0 
141 452451 8.0 
==== END RUN ====
0 1 0.0 
0 35 1.0 
0 595 2.0 
0 1717 3.0 
6 20660 4.0 
==== END RUN ====
0 1 0.0 
0 37 1.0 
0 147 2.0 
3 10264 3.0 
5 19035 4.0 
10 33872 5.0 
44 141715 6.0 
==== END RUN ====
0 1 0.0 
0 25 1.0 
0 823 3.0 
11 35773 4.0 
61 195865 5.0 
==== END RUN ====
0 1 0.0 
0 5 1.0 
0 698 2.0 
2 7776 3.0 
3 10023 4.0 
10 34978 5.0 
58 186461 6.0 
73 234439 7.0 
==== END RUN ====
0 1 0.0 
0 9 1.0 
0 617 2.0 
2 7388 3.0 
8 27225 4.0 
595 1904729 5.0 
837 2681255 6.0 
860 2754193 7.0 
893 2859899 8.0 
989 3166197 9.0 
1893 6059053 10.0 
==== END RUN ====
0 1 0.0 
0 13 1.0 
0 1059 2.0 
1 3927 3.0 
1 6086 4.0 
6 19325 5.0 
19 63291 6.0 
23 74525 7.0 
24 78019 8.0 
761 2436535 9.0 
==== END RUN ====
0 1 0.0 
0 15 1.0 
0 400 2.0 
15 48341 3.0 
20 65702 4.0 
40 129680 5.0 
960 3072857 6.0 
==== END RUN ====
0 1 0.0 
0 31 1.0 
0 577 2.0 
5 18770 3.0 
9 29177 4.0 
36 115895 5.0 
282 903221 6.0 
==== END RUN ====
0 1 0.0 
0 17 1.0 
0 613 3.0 
4 14151 5.0 
22 71271 6.0 
35 112969 7.0 
102 327553 8.0 
==== END RUN ====
0 1 0.0 
0 11 1.0 
1 3231 2.0 
3 10296 3.0 
4 13922 4.0 
40 128725 5.0 
