0 1 0.0 
0 7 1.0 
0 711 2.0 
1 1625 3.0 
4977 7963515 4.0 
==== END RUN ====
0 1 0.0 
0 9 1.0 
0 79 2.0 
30 48207 3.0 
1849 2958697 4.0 
1916 3066545 5.0 
==== END RUN ====
0 1 0.0 
0 11 1.0 
0 433 2.0 
3 4839 3.0 
529 847574 4.0 
==== END RUN ====
0 1 0.0 
0 15 1.0 
0 391 2.0 
10 16177 3.0 
==== END RUN ====
0 1 0.0 
0 41 1.0 
0 521 2.0 
14 23214 3.0 
22 36015 4.0 
23 37857 5.0 
==== END RUN ====
0 1 0.0 
0 103 1.0 
0 1380 2.0 
3 4845 3.0 
628 1005109 5.0 
==== END RUN ====
0 1 0.0 
0 110 1.0 
1 2901 2.0 
4 6651 3.0 
7 11301 4.0 
19 30779 5.0 
2583 4133225 6.0 
==== END RUN ====
0 1 0.0 
0 7 1.0 
0 852 2.0 
0 1231 3.0 
31 50256 4.0 
42 67581 5.0 
150 240439 6.0 
==== END RUN ====
0 1 0.0 
0 19 1.0 
0 170 2.0 
1 1611 3.0 
3 5273 4.0 
22 36412 6.0 
99 158579 7.0 
105 168587 8.0 
2377 3803787 9.0 
==== END RUN ====
0 1 0.0 
0 61 1.0 
0 788 2.0 
15 24213 3.0 
156 250892 4.0 
==== END RUN ====
0 1 0.0 
0 3 1.0 
0 1393 2.0 
3 4903 3.0 
10 17344 4.0 
17 27561 5.0 
50 80353 6.0 
==== END RUN ====
0 1 0.0 
0 19 1.0 
0 1405 2.0 
1 2033 3.0 
==== END RUN ====
0 1 0.0 
0 13 1.0 
0 293 2.0 
4 7953 3.0 
6 9895 4.0 
11 17967 5.0 
1199 1918801 6.0 
==== END RUN ====
0 1 1.0 
0 711 2.0 
2 3401 3.0 
7 11499 4.0 
34 54753 5.0 
264 422857 6.0 
==== END RUN ====
